musical_name	year	url	url_cleaned
Little Mary Sunshine	1959	/l/littlemarysunshine.htm	littlemarysunshine
Little Me	1999	/l/littleme.htm	littleme
Little Mermaid	2008	/l/littlemermaid.htm	littlemermaid
Little Night Music	1973	/l/littlenightmusic.htm	littlenightmusic
Little Shop of Horrors	1982	/l/littleshopofhorrors.htm	littleshopofhorrors
Little Women	2005	/l/littlewomen.htm	littlewomen
Liza's at the Palace	2009	/l/lizasatthepalace.htm	lizasatthepalace
Lone Star Love	2004	/l/lonestarlove.htm	lonestarlove
Lord of the Rings	2008	/l/lordoftherings.htm	lordoftherings
Love Never Dies	2010	/l/loveneverdies.htm	loveneverdies
Love Online	1997	/l/loveonline.htm	loveonline
LoveMusik	2007	/l/lovemusik.htm	lovemusik
Lucky Stiff	1988	/l/luckystiff.htm	luckystiff
Mack & Mabel	1974	/m/mackmabel.htm	mackmabel
Magic Tree House	2007	/m/magictreehouse.htm	magictreehouse
Make Me A Song	2008	/m/makemeasong.htm	makemeasong
Mame	1966	/m/mame.htm	mame
Mamma Mia!	2000	/m/mammamia.htm	mammamia
Man of La Mancha	1965	/m/manoflamancha.htm	manoflamancha
Man of No Importance, A	2002	/m/manofnoimportancea.htm	manofnoimportancea
March Of The Falsettos	1981	/m/marchofthefalsettos.htm	marchofthefalsettos
Marguerite	2008	/m/marguerite.htm	marguerite
Marie Christine	1999	/m/mariechristine.htm	mariechristine
Marvelous Wonderettes	2008	/m/marvelouswonderettesthe.htm	marvelouswonderettesthe
Mary Poppins	1964	/m/marypoppins.htm	marypoppins
Matilda	2013	/m/matilda.htm	matilda
Me and Juliet	1953	/m/meandjuliet.htm	meandjuliet
Me and My Girl	1937	/m/meandmygirl.htm	meandmygirl
Me Nobody Knows	1970	/m/menobodyknowsthe.htm	menobodyknowsthe
Mean Girls	2018	/m/meangirls.htm	meangirls
Meet Me In St. Louis	1989	/m/meetmeinstlouis.htm	meetmeinstlouis
Memphis	2009	/m/memphis.htm	memphis
Menopause	2002	/m/menopause.htm	menopause
Merrily We Roll Along	1981	/m/merrilywerollalong.htm	merrilywerollalong
Milk And Honey	1961	/m/milkandhoney.htm	milkandhoney
Million Dollar Quartet	2010	/m/milliondollarquartet.htm	milliondollarquartet
Miss Liberty	1949	/m/missliberty.htm	missliberty
Miss Saigon	1991	/m/misssaigon.htm	misssaigon
MJ The Musical	2021	/m/mjthemusical.htm	mjthemusical
Most Happy Fella	1956	/m/mosthappyfellathe.htm	mosthappyfellathe
Motown	2013	/m/motown.htm	motown
Moulin Rouge!	2019	/m/moulinrouge.htm	moulinrouge
Movin' Out	2002	/m/movinout.htm	movinout
Mr. Mark Twain	2009	/m/mrmarktwain.htm	mrmarktwain
Mr. President	1962	/m/mrpresident.htm	mrpresident
Mr. Saturday Night	2022	/m/mrsaturdaynight.htm	mrsaturdaynight
Music Man	1957	/m/musicmanthe.htm	musicmanthe
My Fair Lady	1956	/m/myfairlady.htm	myfairlady
My Favorite Year	1992	/m/myfavoriteyear.htm	myfavoriteyear
My Name will always be Alice	1995	/m/mynamewillalwaysbealice.htm	mynamewillalwaysbealice
Mystery Of Edwin Drood	1985	/m/mysteryofedwindroodthe.htm	mysteryofedwindroodthe
Myths And Hymns	1998	/m/mythsandhymns.htm	mythsandhymns
Naked. Boys Singing!	1998	/n/nakedboyssinging.htm	nakedboyssinging
Narnia	2008	/n/narnia.htm	narnia
Natasha, Pierre, And The Great Comet Of 1812	2012	/n/natashapierreandthegreatcometof1812.htm	natashapierreandthegreatcometof1812
New Brain, A	1998	/n/newbraina.htm	newbraina
New Girl in Town	1957	/n/newgirlintown.htm	newgirlintown
Newsies	1992	/n/newsies.htm	newsies
Next to Normal	2008	/n/nexttonormal.htm	nexttonormal
Nice Work If You Can Get It	2012	/n/niceworkifyoucangetit.htm	niceworkifyoucangetit
Nine	2003	/n/nine.htm	nine
No Strings	1962	/n/nostrings.htm	nostrings
Notebook	2024	/n/notebook.htm	notebook
Notre Dame de Paris	1998	/n/notredamedeparis.htm	notredamedeparis
Of Thee I Sing	1931	/o/oftheeising.htm	oftheeising
Oh Captain	1958	/o/ohcaptain.htm	ohcaptain
Oh, Kay!	1926	/o/ohkay.htm	ohkay
Oklahoma	1943	/o/oklahoma.htm	oklahoma
Oliver	1960	/o/oliver.htm	oliver
On a Clear Day You Can See Forever	1965	/o/onacleardayyoucanseeforever.htm	onacleardayyoucanseeforever
On the Record	2004	/o/ontherecord.htm	ontherecord
On The Town	1944	/o/onthetown.htm	onthetown
On Your Feet!	2015	/o/onyourfeet.htm	onyourfeet
Once On This Island	1990	/o/onceonthisisland.htm	onceonthisisland
Once Upon A Mattress	1959	/o/onceuponamattress.htm	onceuponamattress
Out Of This World	1950	/o/outofthisworld.htm	outofthisworld
Pacific Overtures	1976	/p/pacificovertures.htm	pacificovertures
Paint Your Wagon	1951	/p/paintyourwagon.htm	paintyourwagon
Pajama Game	1954	/p/pajamagamethe.htm	pajamagamethe
Pal Joey	1940	/p/paljoey.htm	paljoey
Parade	1998	/p/parade.htm	parade
Paradise Square	2022	/p/paradisesquare.htm	paradisesquare
Passing Strange	2008	/p/passingstrange.htm	passingstrange
